ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
810,1967-02-11,Ireland,England,3,8,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Winter,,3.2,7.0,0.0,,,,,,
812,1967-02-25,Scotland,Ireland,3,5,1967 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
813,1967-02-25,England,France,12,16,1967 Five Nations Championship,Twickenham,London,England,False,False,away_team,,,,,,,,,,,,
815,1967-03-18,England,Scotland,27,14,1967 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team,,,,,,,,,,,,
817,1967-04-01,France,Wales,20,14,1967 Five Nations Championship,Stade Colombes,Paris,France,False,False,home_team,07149,Spring,,1.7,9.9,0.0,,,,,,
819,1967-04-15,Ireland,France,6,11,1967 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team,03969,Spring,,1.0,14.8,0.0,,,,,,
820,1967-05-13,Australia,Ireland,5,11,1967 Ireland tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Autumn,20.3,12.2,26.8,0.0,,,,,,
822,1967-07-22,South Africa,France,16,3,1967 France rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False,home_team,68442,Winter,,,,0.0,,,,,,
824,1967-08-12,South Africa,France,6,6,1967 France rugby union tour of South Africa,Newlands,Cape Town,South Africa,False,False,,,,,,,,,,,,,
825,1967-08-19,New Zealand,Australia,29,9,1967 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team,,,,,,,,,,,,
826,1967-11-04,England,New Zealand,11,23,"1967 New Zealand rugby union tour of Britain, France and Canada",Twickenham,London,England,False,False,away_team,,,,,,,,,,,,
829,1967-12-02,Scotland,New Zealand,3,14,1967 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
830,1968-01-13,Scotland,France,6,8,1968 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
831,1968-01-20,England,Wales,11,11,1968 Five Nations Championship,Twickenham,London,England,False,False,,,,,,,,,,,,,
832,1968-01-27,France,Ireland,16,6,1968 Five Nations Championship,Colombes,Paris,France,False,False,home_team,07149,Winter,,5.4,7.9,0.3,,,,,,
834,1968-02-10,England,Ireland,9,9,1968 Five Nations Championship,Twickenham,London,England,False,False,,,,,,,,,,,,,
836,1968-02-24,Ireland,Scotland,14,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,,-3.8,2.8,0.7,,,,,,
837,1968-03-09,Ireland,Wales,9,6,1968 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,,0.0,10.4,0.0,,,,,,
838,1968-03-16,Scotland,England,6,8,1968 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,away_team,,,,,,,,,,,,
840,1968-06-15,Australia,New Zealand,11,27,1968 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team,94767,Winter,13.4,9.2,17.3,0.0,,,,,,
841,1968-06-22,Australia,New Zealand,18,19,1968 New Zealand tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,away_team,,,,,,,,,,,,
842,1968-07-13,New Zealand,France,12,9,1968 French tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False,home_team,93781,Winter,,-1.1,11.6,,,,,,,
843,1968-07-27,New Zealand,France,9,3,1968 French tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False,home_team,,,,,,,,,,,,
844,1968-08-10,New Zealand,France,19,12,1968 French tour of New Zealand,Eden Park,Auckland,New Zealand,False,False,home_team,,,,,,,,,,,,
845,1968-08-17,Australia,France,11,10,1968 France tour of New Zealand and Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team,94767,Winter,10.1,7.2,15.5,4.8,,,,,,
846,1968-10-26,Ireland,Australia,10,3,1968 Australia tour of Great Britain and Ireland,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Autumn,,8.4,15.0,0.2,,,,,,
